False_Positive_Rate,True_Positive_Rate
0.060142857142857144,0.594
0.060142857142857144,0.595
0.06028571428571428,0.595
0.06028571428571428,0.597
0.060714285714285714,0.597
0.060714285714285714,0.5975
0.061,0.5975
0.061,0.598
0.061142857142857145,0.598
0.061142857142857145,0.599
0.06142857142857143,0.599
0.06142857142857143,0.6
0.06157142857142857,0.6
0.06157142857142857,0.601
0.061714285714285715,0.601
0.061714285714285715,0.6025
0.06185714285714286,0.6025
0.06185714285714286,0.6035
0.062285714285714285,0.6035
0.062285714285714285,0.6055
0.06242857142857143,0.6055
0.06242857142857143,0.6065
0.06328571428571429,0.6065
0.06328571428571429,0.6075
0.06342857142857143,0.6075
0.06342857142857143,0.608
0.06357142857142857,0.608
0.06357142857142857,0.6095
0.06371428571428571,0.6095
0.06371428571428571,0.611
0.064,0.611
0.064,0.6115
0.06414285714285714,0.6115
0.06414285714285714,0.6135
0.06428571428571428,0.6135
0.06428571428571428,0.6145
0.06442857142857143,0.6145
0.06442857142857143,0.6165
0.06485714285714286,0.6165
0.06485714285714286,0.6175
0.065,0.6175
0.065,0.6185
0.06514285714285714,0.6185
0.06514285714285714,0.619
0.06528571428571428,0.619
0.06528571428571428,0.6195
0.06542857142857143,0.6195
0.06542857142857143,0.62
0.06557142857142857,0.62
0.06557142857142857,0.621
0.066,0.621
0.066,0.622
0.06642857142857143,0.622
0.06642857142857143,0.623
0.06671428571428571,0.623
0.06671428571428571,0.6235
0.06728571428571428,0.6235
0.06728571428571428,0.627
0.06742857142857143,0.627
0.06742857142857143,0.6285
0.06771428571428571,0.6285
0.06771428571428571,0.6295
0.068,0.6295
0.068,0.63
0.06814285714285714,0.63
0.06814285714285714,0.6305
0.06842857142857142,0.6305
0.06842857142857142,0.632
0.06857142857142857,0.632
0.06857142857142857,0.6345
0.06871428571428571,0.6345
0.06871428571428571,0.635
0.06885714285714285,0.635
0.06885714285714285,0.638
0.069,0.638
0.069,0.639
0.06928571428571428,0.639
0.06928571428571428,0.6395
0.06957142857142858,0.6395
0.06957142857142858,0.6405
0.06971428571428571,0.6405
0.06971428571428571,0.641
0.07,0.641
0.07,0.6425
0.07014285714285715,0.6425
0.07014285714285715,0.6445
0.07071428571428572,0.6445
0.07071428571428572,0.647
0.071,0.647
0.071,0.648
0.07114285714285715,0.648
0.07114285714285715,0.6485
0.07128571428571429,0.6485
0.07128571428571429,0.6535
0.07142857142857142,0.6535
0.07142857142857142,0.654
0.07157142857142858,0.654
0.07157142857142858,0.6555
0.072,0.6555
0.072,0.656
0.07228571428571429,0.656
0.07228571428571429,0.657
0.07257142857142856,0.657
0.07257142857142856,0.6575
0.07314285714285715,0.6575
0.07314285714285715,0.658
0.07328571428571429,0.658
0.07328571428571429,0.6605
0.07357142857142857,0.6605
0.07357142857142857,0.661
0.07385714285714286,0.661
0.07385714285714286,0.662
0.074,0.662
0.074,0.6645
0.07414285714285715,0.6645
0.07414285714285715,0.6675
0.07428571428571429,0.6675
0.07428571428571429,0.6685
0.07442857142857143,0.6685
0.07442857142857143,0.67
0.07457142857142857,0.67
0.07457142857142857,0.671
0.07485714285714286,0.671
0.07485714285714286,0.673
0.07514285714285714,0.673
0.07514285714285714,0.6735
0.07528571428571429,0.6735
0.07528571428571429,0.6755
0.07614285714285714,0.6755
0.07614285714285714,0.6765
0.07628571428571429,0.6765
0.07628571428571429,0.6775
0.07671428571428572,0.6775
0.07671428571428572,0.6785
0.07685714285714286,0.6785
0.07685714285714286,0.679
0.07714285714285714,0.679
0.07714285714285714,0.681
0.07757142857142857,0.681
0.07757142857142857,0.6815
0.07785714285714286,0.6815
0.07785714285714286,0.682
0.07828571428571429,0.682
0.07828571428571429,0.6825
0.07857142857142857,0.6825
0.07857142857142857,0.684
0.07914285714285714,0.684
0.07914285714285714,0.685
0.07928571428571428,0.685
0.07928571428571428,0.6855
0.07942857142857143,0.6855
0.07942857142857143,0.6865
0.07971428571428571,0.6865
0.07971428571428571,0.687
0.07985714285714286,0.687
